ID		Centroid		Bounding Box		Equivalent diameter
166	[296.2,	92.8]	[218.0,	29.0,	1.0]		2.5231325220201604
167	[191.375,	111.625]	[78.0,	24.0,	1.0]		3.1915382432114616
168	[290.0,	149.6]	[77.0,	54.0,	1.0]		2.5231325220201604
169	[220.54545454545453,	127.27272727272727]	[81.0,	31.0,	1.0]		3.742410318509555
170	[193.75,	97.5]	[77.0,	26.0,	1.0]		2.256758334191025
171	[222.72727272727272,	154.1818181818182]	[85.0,	16.0,	1.0]		3.742410318509555
172	[363.75,	167.0]	[337.0,	47.0,	1.0]		2.256758334191025
173	[251.28571428571428,	171.0]	[197.0,	17.0,	1.0]		2.985410660720923
174	[260.6666666666667,	87.66666666666667]	[94.0,	16.0,	1.0]		2.763953195770684
175	[231.15384615384616,	180.30769230769232]	[78.0,	18.0,	1.0]		4.068428945128219
176	[220.0,	208.0]	[77.0,	19.0,	1.0]		3.1915382432114616
177	[308.3333333333333,	262.6666666666667]	[123.0,	144.0,	1.0]		2.763953195770684
178	[174.11111111111111,	182.33333333333334]	[83.0,	22.0,	1.0]		3.385137501286538
179	[221.1818181818182,	184.8181818181818]	[77.0,	47.0,	1.0]		3.742410318509555
180	[252.0,	190.0]	[139.0,	50.0,	1.0]		2.256758334191025
181	[233.28571428571428,	127.57142857142857]	[106.0,	16.0,	1.0]		2.985410660720923
182	[247.22222222222223,	184.0]	[78.0,	46.0,	1.0]		3.385137501286538
183	[256.1,	186.1]	[87.0,	16.0,	1.0]		3.5682482323055424
184	[259.3,	197.3]	[77.0,	42.0,	1.0]		3.5682482323055424
185	[173.8181818181818,	194.72727272727272]	[82.0,	65.0,	1.0]		3.742410318509555
186	[279.6,	215.8]	[81.0,	15.0,	1.0]		2.5231325220201604
187	[165.0,	158.25]	[77.0,	15.0,	1.0]		2.256758334191025
188	[204.3,	200.1]	[85.0,	17.0,	1.0]		3.5682482323055424
189	[268.2857142857143,	216.85714285714286]	[86.0,	72.0,	1.0]		2.985410660720923
190	[244.0,	81.0]	[111.0,	15.0,	1.0]		3.1915382432114616
191	[295.0,	120.0]	[153.0,	40.0,	1.0]		1.9544100476116797
192	[208.57142857142858,	107.14285714285714]	[100.0,	15.0,	1.0]		2.985410660720923
193	[213.84615384615384,	174.92307692307693]	[78.0,	15.0,	1.0]		4.068428945128219
194	[251.2,	131.0]	[82.0,	15.0,	1.0]		3.5682482323055424
195	[203.8,	143.6]	[90.0,	15.0,	1.0]		3.5682482323055424
196	[196.55555555555554,	194.22222222222223]	[107.0,	15.0,	1.0]		3.385137501286538
197	[257.8888888888889,	117.88888888888889]	[98.0,	15.0,	1.0]		3.385137501286538
198	[226.625,	155.25]	[79.0,	16.0,	1.0]		3.1915382432114616
199	[196.25,	209.0]	[77.0,	113.0,	1.0]		2.256758334191025
200	[205.55555555555554,	95.66666666666667]	[81.0,	15.0,	1.0]		3.385137501286538
201	[293.6666666666667,	167.66666666666666]	[83.0,	135.0,	1.0]		1.9544100476116797
202	[255.33333333333334,	204.33333333333334]	[77.0,	19.0,	1.0]		2.763953195770684
203	[232.5,	113.16666666666667]	[125.0,	15.0,	1.0]		2.763953195770684
204	[242.6,	156.4]	[78.0,	15.0,	1.0]		2.5231325220201604
205	[286.0,	212.5]	[120.0,	67.0,	1.0]		2.256758334191025
206	[273.1666666666667,	243.5]	[159.0,	45.0,	1.0]		2.763953195770684
207	[267.85714285714283,	79.14285714285714]	[126.0,	16.0,	1.0]		2.985410660720923
208	[275.4,	144.6]	[178.0,	23.0,	1.0]		2.5231325220201604
209	[303.4,	147.2]	[167.0,	17.0,	1.0]		2.5231325220201604
210	[162.0909090909091,	174.0909090909091]	[81.0,	22.0,	1.0]		3.742410318509555
211	[243.25,	151.66666666666666]	[77.0,	17.0,	1.0]		3.9088200952233594
212	[268.875,	104.0]	[77.0,	18.0,	1.0]		3.1915382432114616
213	[250.16666666666666,	233.66666666666666]	[104.0,	57.0,	1.0]		2.763953195770684
214	[239.0,	171.9090909090909]	[92.0,	25.0,	1.0]		3.742410318509555
215	[256.5,	116.83333333333333]	[87.0,	16.0,	1.0]		2.763953195770684
216	[273.09090909090907,	124.45454545454545]	[86.0,	20.0,	1.0]		3.742410318509555
217	[211.28571428571428,	140.57142857142858]	[95.0,	21.0,	1.0]		2.985410660720923
218	[198.0,	157.33333333333334]	[80.0,	41.0,	1.0]		1.9544100476116797
219	[351.47058823529414,	180.23529411764707]	[78.0,	20.0,	1.0]		4.652426491681278
220	[215.25,	192.3125]	[80.0,	15.0,	1.0]		4.51351666838205
221	[280.55555555555554,	187.0]	[93.0,	15.0,	1.0]		3.385137501286538
222	[248.7,	110.3]	[83.0,	15.0,	1.0]		3.5682482323055424
223	[221.92307692307693,	216.3846153846154]	[81.0,	69.0,	1.0]		4.068428945128219
224	[225.5,	146.0]	[77.0,	15.0,	1.0]		3.9088200952233594
225	[264.85714285714283,	62.0]	[119.0,	15.0,	1.0]		2.985410660720923
226	[181.5,	198.16666666666666]	[93.0,	43.0,	1.0]		2.763953195770684
227	[242.4,	108.7]	[102.0,	15.0,	1.0]		3.5682482323055424
228	[261.42857142857144,	118.14285714285714]	[103.0,	34.0,	1.0]		2.985410660720923
229	[235.0,	162.63636363636363]	[79.0,	15.0,	1.0]		3.742410318509555
230	[232.76923076923077,	177.23076923076923]	[78.0,	16.0,	1.0]		4.068428945128219
231	[251.4375,	172.6875]	[77.0,	15.0,	1.0]		4.51351666838205
232	[244.0,	177.32]	[85.0,	17.0,	1.0]		5.641895835477563
233	[258.14285714285717,	139.57142857142858]	[95.0,	15.0,	1.0]		5.170882945826411
234	[245.78947368421052,	168.52631578947367]	[88.0,	15.0,	1.0]		4.918490759365935
